movie_id,rating_val
25-ways-to-quit-smoking,253
252-signal-of-life,6
25th-hour,6471
26-71-zeichenfilm-balzac-und-das-auge-gottes,68
26682,896
27-dresses,2024
28-days,1101
28-days-later,11809
28-hotel-rooms,187
28-up,669
28-weeks-later,5506
291,34
2am-the-smiling-man,276
2everything2terrible2-tokyo-drift,403
2gether,66
2ldk,371
2minutes40seconds,28
3-15,178
3-2-1-frankie-go-boom,177
3-2-1-penguins-runaway-pride-at-lightstation-kilowatt,6
3-2003-1,552
3-36,24
3-60-trees-in-autumn,121
3-am-2014,8
3-bad-men,532
3-beauties,25
3-days-in-quiberon,191
3-days-to-kill,1433
3-dead-trick-or-treaters,86
3-deewarein,14
3-degree-k-02,21
3-doors-down-away-from-the-sun,8
3-faces,1245
3-foot-ball-and-souls,73
3-from-hell,2751
3-generations,510
3-godfathers,978
3-headed-shark-attack,143
3-idiots,1582
3-iron,3024
3-men-and-a-baby,1596
3-men-and-a-little-lady,676
3-mile-limit,13
3-minutes-10-bullets,451
3-ninjas,773
3-ninjas-high-noon-at-mega-mountain,195
3-ninjas-kick-back,322
3-ninjas-knuckle-up,149
3-shorts,8
3-women,4953
30-30-vision-three-decades-of-strand-releasing,95
30-days-in-hell-the-making-of-the-devils-rejects,177
30-days-of-night,4066
30-days-of-night-dark-days,284
30-is-a-dangerous-age-cynthia,15
30-maidens-and-pythagoras,12
30-minutes-or-less,2835
30-rock-a-one-time-special,66
30-years-in-the-tardis,40
30-years-of-garbage-the-garbage-pail-kids-story,158
300,7570
300-rise-of-an-empire,3378
3000-miles-to-graceland,731
303-2018,264
3096-days,192
31-2016,2782
31-75-asylum,167
31-minutos-the-movie,39
310-to-yuma,2584
310-to-yuma-2007,5769
311-a-sense-of-home,32
32-76-to-w-b,30
32-december-love-error,7
32-pills-my-sisters-suicide,76
32-rbit,123
322,36
32a,28
33-postcards,42
33-revolutions-per-monkee,7
33-teeth,29
34-2018,129
35-and-single,14
35-shots-of-rum,2822
35-up,601
350-days,29
36-2012,163
36-chowringhee-lane,39
36-hours-1964,262
36-questions,22
360,316
365-days-2020,388
36daysoftype-2016,8
36th-precinct,240
37-2009,23
37-73,21
37-78-tree-again,56
37-seconds,424
38-39c-2012,7
388-arletta-avenue,111
3d-a-brief-history,12
3x3,74
4,211
4-20-massacre,135
4-44-last-day-on-earth,1390
4-a-4-metro-barbes-rochechou-art,53
4-days-in-france,304
4-faces-of-eve,8
4-for-texas,154
4-kings-2015,49
4-little-girls,1259
4-months-3-weeks-and-2-days,4178
4-moons,241
4-rural-sketches,7
40-2003,7
40-carats,35
40-days-and-40-nights,1070
40-pounds-of-trouble,19
40-years-a-prisoner,74
40-years-of-rocky-the-birth-of-a-classic,22
400-days,215
40000-years-of-dreaming,41
402-weeks,6
405,43
41-2012,20
41-miles,490
41-seconds,12
4192-the-crowning-of-the-hit-king,15
42,3623
42-2009,150
42-counts,37
42-up,609
42nd-street,2438
42nd-street-memories-the-rise-and-fall-of-americas-most-notorious-street,264
42nd-street-the-musical,57
4321,260
433-the-movie,14
44-inch-chest,385
4444444444,320
45,92
45-7-broadway,49
45-rpm,6
45-years,6505
45365,71
47-meters-down,3908
47-meters-down-uncaged,2108
47-ronin-1962,95
47-ronin-2013,1811
48,31
48-hrs,4278
49-17,137
49-pulses,28
49-up,562
49th-parallel,1259
4bia,155
4d-man,264
4eyes,7
4got10,43
4th-man-out,514
4x4,123
5-4,36
5-62-people-looking-out-of-the-window-trash-etc,60
5-against-the-house,409
5-branded-women,28
5-card-stud,185
5-centimeters-per-second,3049
5-films-about-technology,264
5-fingers,367
5-flights-up,343
5-headed-shark-attack,85
5-meters-80,33
5-oclock-in-the-morning,14
5-steps-to-danger,69
5-to-7,831
50-50,9151
50-feet-of-string,49
50-first-dates,5424
50-million-frenchmen,32
50-years-of-star-trek,57
500-days-of-summer,12196
51-birch-street,63
51-degrees-north,7
515-hr,9
5150-elms-way,169
52-pick-up,1450
52-tuesdays,424
53-wars,21
537-votes,185
54,1106
54321-2017,6
55-days-at-peking,205
555-1988,225
56-rue-pigalle,7
56-up,623
57-2017,8
577-project,26
5b,130
5ive-girls,103
5th-ave-girl,194
5x-favela-now-by-ourselves,37
6-18-67,90
6-balloons,1043
6-below-miracle-on-the-mountain,142
6-bullets,238
6-days,470
6-days-to-air-the-making-of-south-park,963
6-degrees-of-hell,24
6-little-jungle-boys,12
6-souls,417
6-underground,4318
6-years,791
600-miles,213
605-adults-304-children,7
607,84
61,375
61-the-inner-truth,60
625,15
63-up,403
633-squadron,120
65-revisited,78
66-scenes-from-america,97
666-at-calling-death,25
666-beware-the-end-is-at-hand,74
678,94
68-kill,1038
69-1969,85
6ixtynin9,148
7-19,74
7-1996-1,9
7-35-in-the-morning,406
7-anos,166
7-boxes,287
7-chinese-brothers,599
7-days-in-entebbe,753
7-days-in-havana,141
7-days-in-hell,3245
7-days-to-vegas,12
7-faces-of-dr-lao,441
7-guardians-of-the-tomb,125
7-letters,26
7-men-from-now,1087
7-plus-seven,823
7-saal-baad,12
7-till-5-a-pattern-of-the-days-doings,18
7-up,990
7-wise-dwarfs,69
7-witches,48
7-women,664
71,4108
71-fragments-of-a-chronology-of-chance,1158
71-into-the-fire,104
711-ocean-drive,177
72-hours-in-andre-balazs-chateau-marmont-with-kenneth-anger,6
73-suspect-words,26
7362,99
7500,1910
76-anos-gregorio-bezerra-comunista,21
76-days,265
77-heartbreaks,57
78-52,2146
78-tours,183
79-springs,293
7915-km,6
7a,39
7g-rainbow-colony,15
7th-cavalry,41
7th-day,47
7th-heaven,987
7th-street,6
8-17pm-darling-street,22
8-2010,80
8-2019,143
8-46-2020,1644
8-64-ana-action-brus,107
8-half,9097
8-heads-in-a-duffel-bag,402
8-mile,5574
8-million-ways-to-die,673
8-seconds,133
8-women,1387
8-women-1999,252
80-blocks-from-tiffanys,167
800-bullets,144
800-km-de-difference-romance,6
808,169
8213-gacy-house,89
84-charing-cross-road,380
84c-mopic,102
86d,58
88,355
88-88-2015,655
88-minutes,590
89-2017,75
89-mm-from-europe,39
8bits,92
8mm,3045
8mm-2,71
9,3439
9-11,376
9-11-10-years-later,8
9-11-2017,190
9-11-in-plane-sight,23
9-11-the-days-after,8
9-11-the-falling-man,237
9-11-the-twin-towers,63
9-2005,611
9-deaths-of-the-ninja-1985,218
9-fingers,211
9-full-moons,60
9-kisses,312
9-meter,42
9-month-stretch,51
9-songs,692
9-souls,211
9-steps,15
9-summers-10-autumns,14
9-variations-on-a-dance-theme,137
9-waves,6
90-minutes,89
90-seconds-in-north-korea,36
90-south,29
90210-shark-attack,17
92-in-the-shade,217
9214,55
930,63
93queen,20
95-16,6
964-pinocchio,595
97,97
97-owned,8
976-evil,985
976-evil-ii,511
979,173
983-khz-bridge-at-electrical-storm,74
99-and-44-100-dead,101
99-homes,4645
99-river-street,883
99-the-occupy-wall-street-collaborative-film,47
99-women,274
999,213
999-the-frequency-of-terror,44
9th-company,95
9to5-days-in-porn,80
9to5-the-story-of-a-movement,52
a,48
a-1-headline,9
a-1965,44
a-3-minute-hug,32
a-babysitters-guide-to-monster-hunting,242
a-backbone-tale,74
a-bad-idea-gone-wrong,195
a-bad-moms-christmas,2169
a-bag-of-hammers,146
a-bag-of-marbles-2017,141
a-bagful-of-fleas,219
a-balata,6
a-ballad-about-green-wood,109
a-ballerinas-tale,147
a-balloon-for-ben,155
a-band-called-death,1576
a-banda-das-velhas-virgens,12
a-baronesa-transviada,27
a-bay-of-blood,4027
a-bear-for-punishment,176
a-beautiful-day-in-the-neighborhood,9726
a-beautiful-life-2011,71
a-beautiful-mind,7379
a-beautiful-planet,152
a-beautiful-star,47
a-beginners-guide-to-snuff,35
a-bend-in-the-road,10
a-better-life,899
a-better-life-2012,33
a-better-place,26
a-better-tomorrow,2760
a-better-tomorrow-2010,90
a-better-tomorrow-ii,1084
a-better-tomorrow-iii-love-and-death-in-saigon,482
a-big-hand-for-the-little-lady,180
a-bigger-splash,242
a-bigger-splash-2015,6528
a-biography-of-lilith,7
a-bird-in-a-guilty-cage,91
a-birders-guide-to-everything,196
a-bit-of-blue-ribbon,14
a-bit-of-scarlet,28
a-bittersweet-life,2650
a-black-and-white-cartoon-about-berries,48
a-black-and-white-cartoon-about-roof-tiling,56
a-black-veil-for-lisa,215
a-blade-in-the-dark,957
a-bloodthirsty-killer,53
a-bluebird-in-my-heart,206
a-bone-to-pick-an-aurora-teagarden-mystery,38
a-bord-du-formidable-ramassage-du-linge,25
a-borrowed-life,175
a-boy-and-his-atom-the-worlds-smallest-movie,169
a-boy-and-his-dog,1914
a-boy-called-dad,20
a-boy-called-sailboat,51
a-boy-named-charlie-brown,756
a-boyfriend-for-christmas,40
a-bramble-house-christmas,68
a-branch-of-a-pine-is-tied-up,181
a-brand-new-life,134
a-bras-le-corps,14
a-brasa-do-norte,14
a-brave-heart-the-lizzie-velasquez-story,64
a-bread-factory-part-one-for-the-sake-of-gold,569
a-bread-factory-part-two-walk-with-me-a-while,517
a-breed-apart,170
a-breed-of-heroes,15
a-bride-for-rip-van-winkle,790
a-bridge-too-far,1383
a-brief-excursion,53
a-brief-history-of-time,1449
a-brighter-summer-day,4861
a-british-picture-portrait-of-an-enfant-terrible,30
a-broad-bellflower,49
a-bronx-tale,2853
a-brony-tale,133
a-brother-2018,49
a-brother-and-his-younger-sister,14
a-brothers-kiss,6
a-brutal-game,109
a-bucket-of-blood,2559
a-bugs-life,10032
a-bullet-for-a-stranger,66
a-bullet-for-sandoval,66
a-bullet-for-the-general,691
a-bullet-is-waiting,22
a-bunch-of-amateurs,22
a-bundle-of-blues,102
a-burlesque-on-carmen,185
a-burning-hot-summer,401
a-busy-day,122
a-cabra-na-regiao-semi-arida,8
a-cadaver-christmas,168
a-callgirl-for-ghosts,6
a-cambodian-spring,70
a-candle-for-the-devil,290
a-canterbury-tale,1697
a-caribbean-dream,29
a-caribbean-mystery,27
a-carpenter,23
a-case-for-pc-49,7
a-case-of-you,313
a-castle-within-a-castle,68
a-cat-in-paris,1263
a-cat-in-the-brain,1058
a-century-of-energy,230
a-certain-captain-rodrigo,18
a-certain-killer,92
a-certain-kind-of-death,162
a-chair-a-plane-kwela,14
a-chairy-tale,339
a-challenge-for-robin-hood,28
a-change-of-clothes,33
a-charlie-brown-christmas,4884
a-charlie-brown-thanksgiving,1917
a-charlie-brown-valentine,135
a-chess-dispute,207
a-child-in-the-crowd,68
a-child-is-waiting,575
a-childs-cry-for-help,14
a-childs-voice,69
a-chinese-ghost-story,1079
a-chinese-ghost-story-ii,238
a-chinese-ghost-story-iii,148
a-chinese-odyssey-part-one-pandoras-box,363
a-chinese-odyssey-part-two-cinderella,285
a-chinese-torture-chamber-story,106
a-chipmunk-celebration,6
a-chorus-line,516
a-chorus-of-disapproval,28
a-christmas-carol,686
a-christmas-carol-1910,172
a-christmas-carol-1971,293
a-christmas-carol-1984,1114
a-christmas-carol-1999,587
a-christmas-carol-2009,3776
a-christmas-carol-2019,299
a-christmas-carol-goes-wrong,95
a-christmas-dream,139
a-christmas-duet,31
a-christmas-horror-story,1291
a-christmas-melody,65
a-christmas-movie-christmas,53
a-christmas-prince,977
a-christmas-prince-the-royal-baby,291
a-christmas-prince-the-royal-wedding,504
a-christmas-story-1983,7577
a-christmas-story-2,59
a-christmas-story-documentary-road-trip-for-ralphie,15
a-christmas-story-live,114
a-christmas-tale,1230
a-christmas-tale-2005,267
a-christmas-tree-1959,43
a-christmas-winter-song,23
a-chump-at-oxford,309
a-cidade-do-salvador-petroleo-jorrou-na-bahia,37
a-cinderella-story,2312
a-cinderella-story-christmas-wish,232
a-cinderella-story-once-upon-a-song,157
a-city-of-sadness,1341
a-civil-action,787
a-clear-shot,10
a-clockwork-orange,16549
a-close-call-for-boston-blackie,54
a-close-shave-1995,3189
a-cock-and-bull-story,1321
a-coffee-in-berlin-2012,771
a-colbert-christmas-the-greatest-gift-of-all,115
a-cold-nights-death,208
a-colony,180
a-colour-box,497
a-colt-is-my-passport,1206
a-commuters-life-what-a-life,16
a-company-man,419
a-complete-history-of-my-sexual-failures,77
a-computer-animated-hand,187
a-confucian-confusion,468
a-connecticut-yankee-in-king-arthurs-court,120
a-conspiracy-of-faith,355
a-constant-forge,260
a-conversation-with-gregory-peck,137
a-cool-fish,71
a-copy,18
a-copy-of-my-mind,124
a-corner-in-wheat,1141
a-corny-concerto,413
a-cottage-on-dartmoor,554
a-couch-in-new-york,392
a-countess-from-hong-kong,662
a-courtesan-with-flowered-skin,7
a-courtship,19
a-creepshow-animated-special,253
a-criminal-is-born,33
a-cry-in-the-dark,690
a-cry-in-the-wild,32
a-cuban-fight-against-demons,42
a-culpa-e-da-foto,7
a-cure-for-pokeritis,74
a-cure-for-terminal-loneliness,13
a-cure-for-wellness,8176
a-curing-ceremony,14
a-curtain-raiser,104
a-damsel-in-distress,233
a-dance-for-heroes,26
a-dandy-in-aspic,326
a-dangerous-man,52
a-dangerous-method,4042
a-dangerous-place-1995,73
a-daring-daylight-burglary,126
a-dark-adapted-eye,12
a-dark-place-2018,183
a-dark-song,2426
a-dark-truth,47
a-darkness-swallowed,40
a-date-for-mad-mary,512
a-date-to-skate,75
a-date-with-miss-fortune,11
a-day,6
a-day-2017,206
a-day-at-the-beach,69
a-day-at-the-races,1207
a-day-at-the-zoo,140
a-day-for-women,26
a-day-in-barbagia,116
a-day-in-the-country,2414
a-day-in-the-death-of-joe-egg,132
a-day-in-the-life,37
a-day-in-the-life-of-a-hobbit,23
a-day-in-the-life-of-anil-bagchi,6
a-day-of-violence,22
a-day-off-1968,201
a-day-out,43
a-day-with-the-boys,262
a-daydream,39
a-days-pleasure,600
a-deadly-adoption,738
a-death-in-the-gunj,194
a-decade-under-the-influence,450
a-decent-woman,76
a-dedicated-life,94
a-demon-within,28
a-dennis-the-menace-christmas,39
a-departure,24
a-detective-story,281
a-detective-story-1929,50
a-diary-for-timothy,213
a-different-drummer-celebrating-eccentrics,15
a-dirty-carnival,425
a-dirty-shame,1009
a-disney-halloween,59
a-distant-cry-from-spring,32
a-distant-thunder,63
a-distant-trumpet,57
a-divided-world,35
a-dog-barking-at-the-moon,44
a-dog-year,56
a-doggone-hollywood,11
a-dogs-journey,591
a-dogs-life,1745
a-dogs-love,24
a-dogs-purpose,1420
a-dogs-way-home,569
a-dogs-will,663
